Wavelength (nm),Absorbance 1 (Au),Absorbance 2 (Au),Absorbance 3 (Au)
330, 0.0586, 0.0588, 0.0589
355, 0.0246, 0.0249, 0.0247
380, 0.0395, 0.0394, 0.0392
405, 0.0362, 0.0361, 0.0361
430, 0.0310, 0.0311, 0.0309
455, 0.0309, 0.0301, 0.0305
480, 0.0311, 0.0310, 0.0310
505, 0.0347, 0.0346, 0.0346
530, 0.0301, 0.0302, 0.0302
555, 0.0211, 0.0218, 0.0216 
580, 0.0288, 0.0289, 0.0290
605, 0.0296, 0.0297, 0.0298
630, 0.0312, 0.0311, 0.0312
655, 0.0277, 0.0279, 0.0279
680, 0.0287, 0.0288, 0.0287
705, 0.0264, 0.0265, 0.0265
730, 0.0173, 0.0173, 0.0173
755, 0.0136, 0.0136, 0.0137
780, 0.0146, 0.0147, 0.0146
805, 0.0184, 0.0185, 0.0187
830, 0.0141, 0.0140, 0.0140
855, 0.0083, 0.0084, 0.0085
880, 0.0025, 0.0026, 0.0026
905, 0.0040, 0.0040, 0.0041
930, 0.0287, 0.0286, 0.0286
955, 0.1425, 0.1424, 0.1423
980, 0.1692, 0.1691, 0.1690
1005, 0.1212, 0.1211, 0.1211
1030, 0.0669, 0.0668, 0.0668
1055, 0.0399, 0.0400, 0.0398
1080, 0.0402, 0.0401, 0.0401
1105,  0.0591, 0.0590, 0.0590