Trial, Temperature (ËšC), Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 5, 330, 0.1685, 0.1461
2, 5, 330, 0.1684, 0.1462
3, 5, 330, 0.1683, 0.1467
4, 5, 330, 0.1682, 0.1465
5, 5, 330, 0.1687, 0.1468

1, 10, 330, 0.1688, 0.1478
2, 10, 330, 0.1689, 0.1481
3, 10, 330, 0.1683, 0.1485
4, 10, 330, 0.1685, 0.1483
5, 10, 330, 0.1686, 0.1482

1, 15, 330, 0.1689, 0.1495
2, 15, 330, 0.1688, 0.1492
3, 15, 330, 0.1685, 0.1494
4, 15, 330, 0.1684, 0.1493
5, 15, 330, 0.1682, 0.1492

1, 20, 330, 0.1685, 0.1523
2, 20, 330, 0.1683, 0.1522
3, 20, 330, 0.1688, 0.1524
4, 20, 330, 0.1686, 0.1525
5, 20, 330, 0.1682, 0.1526

1, 25, 330, 0.1681, 0.1537
2, 25, 330, 0.1684, 0.1536
3, 25, 330, 0.1685, 0.1535
4, 25, 330, 0.1689, 0.1534
5, 25, 330, 0.1683, 0.1533

1, 30, 330, 0.1685, 0.1562
2, 30, 330, 0.1682, 0.1563
3, 30, 330, 0.1683, 0.1564
4, 30, 330, 0.1684, 0.1562
5, 30, 330, 0.1681, 0.1563

1, 35, 330, 0.1686, 0.1587
2, 35, 330, 0.1687, 0.1585
3, 35, 330, 0.1688, 0.1583
4, 35, 330, 0.1681, 0.1582
5, 35, 330, 0.1682, 0.1589

1, 40, 330, 0.1688, 0.1621
2, 40, 330, 0.1685, 0.1623
3, 40, 330, 0.1684, 0.1624
4, 40, 330, 0.1683, 0.1622
5, 40, 330, 0.1682, 0.1627

1, 45, 330, 0.1682, 0.1631
2, 45, 330, 0.1681, 0.1632
3, 45, 330, 0.1683, 0.1633
4, 45, 330, 0.1684, 0.1634
5, 45, 330, 0.1678, 0.1630

1, 50, 330, 0.1683, 0.1651
2, 50, 330, 0.1685, 0.1652
3, 50, 330, 0.1687, 0.1653
4, 50, 330, 0.1683, 0.1651
5, 50, 330, 0.1682, 0.1655