Trial (2min), ReferenceNum, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.4594, 0.2292 
2, 1, 330, 0.4593, 0.2293
3, 1, 330, 0.4597, 0.2297
4, 1, 330, 0.4596, 0.2294
5, 1, 330, 0.4591, 0.2291

1, 4, 330, 0.4592, 0.3957
2, 4, 330, 0.4593, 0.3952
3, 4, 330, 0.4596, 0.3954
4, 4, 330, 0.4597, 0.3953
5, 4, 330, 0.4592, 0.3951

1, 5, 330, 0.4598, 0.2712
2, 5, 330, 0.4597, 0.2712
3, 5, 330, 0.4593, 0.2713
4, 5, 330, 0.4592, 0.2718
5, 5, 330, 0.4591, 0.2719

1, 3, 330, 0.4593, 0.4024
2, 3, 330, 0.4591, 0.4023
3, 3, 330, 0.4590, 0.4022
4, 3, 330, 0.4597, 0.4021
5, 3, 330, 0.4598, 0.4026

1, 2, 330, 0.4591, 0.3272   
2, 2, 330, 0.4593, 0.3279
3, 2, 330, 0.4592, 0.3271
4, 2, 330, 0.4593, 0.3281
5, 2, 330, 0.4592, 0.3277

#Bubble on plates