Trial, Scale, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 5, 330, 0.0577, 0.0562
2, 5, 330, 0.0572, 0.0564
3, 5, 330, 0.0572, 0.0561
4, 5, 330, 0.0577, 0.0563
5, 5, 330, 0.0574, 0.0561

1, 10, 330, 0.0579, 0.0428
2, 10, 330, 0.0574, 0.0426
3, 10, 330, 0.0577, 0.0427
4, 10, 330, 0.0572, 0.0421
5, 10, 330, 0.0574, 0.0422

1, 15, 330, 0.0572, 0.0368
2, 15, 330, 0.0577, 0.0361
3, 15, 330, 0.0574, 0.0367
4, 15, 330, 0.0572, 0.0368
5, 15, 330, 0.0577, 0.0365

1, 20, 330, 0.0574, 0.0285
2, 20, 330, 0.0577, 0.0283
3, 20, 330, 0.0572, 0.0285
4, 20, 330, 0.0572, 0.0284
5, 20, 330, 0.0577, 0.0281