Trial, Scale, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au), Difference
1, 5, 330, 0.4326, 0.3924
2, 5, 330, 0.4321, 0.3927
3, 5, 330, 0.4322, 0.3925
4, 5, 330, 0.4326, 0.3921
5, 5, 330, 0.4321, 0.3927 

1, 10, 330, 0.4322, 0.3652
2, 10, 330, 0.4321, 0.3651 
3, 10, 330, 0.4323, 0.3653 
4, 10, 330, 0.4324, 0.3653
5, 10, 330, 0.4326, 0.3654

1, 15, 330, 0.4326, 0.3597
2, 15, 330, 0.4321, 0.3596
3, 15, 330, 0.4321, 0.3592
4, 15, 330, 0.4326, 0.3597
5, 15, 330, 0.4321, 0.3593

1, 20, 330, 0.4321, 0.3347
2, 20, 330, 0.4321, 0.3345
3, 20, 330, 0.4326, 0.3347
4, 20, 330, 0.4321, 0.3341
5, 20, 330, 0.4326, 0.3342

1, 5, 330, 0.0587, 0.0122
2, 5, 330, 0.0586, 0.0125
3, 5, 330, 0.0587, 0.0123
4, 5, 330, 0.0586, 0.0127
5, 5, 330, 0.0593, 0.0127

1, 10, 330, 0.0593, 0.0092
2, 10, 330, 0.0588, 0.0091
3, 10, 330, 0.0589, 0.0094
4, 10, 330, 0.0587, 0.0095
5, 10, 330, 0.0586, 0.0096

1, 15, 330, 0.0586, 0.0058
2, 15, 330, 0.0587, 0.0058
3, 15, 330, 0.0586, 0.0055
4, 15, 330, 0.0587, 0.0051
5, 15, 330, 0.0593, 0.0054

1, 20, 330, 0.0586, 0.0022
2, 20, 330, 0.0587, 0.0024
3, 20, 330, 0.0586, 0.0022
4, 20, 330, 0.0587, 0.0023
5, 20, 330, 0.0593, 0.0028

1, 5, 330, 0.0577, 0.0562
2, 5, 330, 0.0572, 0.0564
3, 5, 330, 0.0572, 0.0561
4, 5, 330, 0.0577, 0.0563
5, 5, 330, 0.0574, 0.0561

1, 10, 330, 0.0579, 0.0428
2, 10, 330, 0.0574, 0.0426
3, 10, 330, 0.0577, 0.0427
4, 10, 330, 0.0572, 0.0421
5, 10, 330, 0.0574, 0.0422

1, 15, 330, 0.0572, 0.0368
2, 15, 330, 0.0577, 0.0361
3, 15, 330, 0.0574, 0.0367
4, 15, 330, 0.0572, 0.0368
5, 15, 330, 0.0577, 0.0365

1, 20, 330, 0.0574, 0.0285
2, 20, 330, 0.0577, 0.0283
3, 20, 330, 0.0572, 0.0285
4, 20, 330, 0.0572, 0.0284
5, 20, 330, 0.0577, 0.0281

1, 5, 330, 0.4593, 0.3892
2, 5, 330, 0.4593, 0.3893
3, 5, 330, 0.4592, 0.3892
4, 5, 330, 0.4591, 0.3891
5, 5, 330, 0.4591, 0.3895

1, 10, 330, 0.4591, 0.3272  
2, 10, 330, 0.4593, 0.3279
3, 10, 330, 0.4592, 0.3271
4, 10, 330, 0.4593, 0.3281
5, 10, 330, 0.4592, 0.3277

1, 15, 330, 0.4592, 0.2981
2, 15, 330, 0.4593, 0.2987
3, 15, 330, 0.4591, 0.2983
4, 15, 330, 0.4591, 0.2985
5, 15, 330, 0.4593, 0.2989

1, 20, 330, 0.4591, 0.2857
2, 20, 330, 0.4593, 0.2855
3, 20, 330, 0.4591, 0.2852
4, 20, 330, 0.4593, 0.2857
5, 20, 330, 0.4592, 0.2851

1, 5, 330, 0.1683, 0.1581
2, 5, 330, 0.1684, 0.1585
3, 5, 330, 0.1683, 0.1584
4, 5, 330, 0.1685, 0.1582
5, 5, 330, 0.1684, 0.1584

1, 10, 330, 0.1681, 0.1537
2, 10, 330, 0.1684, 0.1536
3, 10, 330, 0.1685, 0.1535
4, 10, 330, 0.1689, 0.1534
5, 10, 330, 0.1683, 0.1533

1, 15, 330, 0.1684, 0.1495
2, 15, 330, 0.1685, 0.1498
3, 15, 330, 0.1683, 0.1493
4, 15, 330, 0.1684, 0.1495
5, 15, 330, 0.1683, 0.1491

1, 20, 330, 0.1684, 0.1406
2, 20, 330, 0.1683, 0.1402
3, 20, 330, 0.1685, 0.1405
4, 20, 330, 0.1683, 0.1406
5, 20, 330, 0.1684, 0.1409